reaction_id	pathway_ids (KEGG and Metacyc
rxn00283	ALADEG-PWY	ALANINE-VALINESYN-PWY	PWY-7383	PWY-7389	PWY0-1061	rn00473
rxn00284	
rxn00285	P23-PWY	P42-PWY	PWY-5392	PWY-5464	PWY-5537	PWY-5538	PWY-5690	PWY-5913	PWY-6146	PWY-6728	PWY-6969	PWY-7384	PWY-7389	PWY66-398	rn00020	rn00640	rn00720	rn01110	rn01200
rxn00286	PWY-5743	PWY-7024	rn00720	rn01200
rxn00287	
rxn00288	rn00720	rn01200
rxn00289	PWY-5747	PWY0-42	rn00640
rxn00290	PWY66-368	rn00072	rn00280	rn00650
rxn00291	AST-PWY	rn00330
rxn00292	rn00520	rn01110
rxn00293	OANTIGEN-PWY	PWY-5514	PWY-6404	PWY-6981	PWY-7332	PWY0-1261	UDPNACETYLGALSYN-PWY	UDPNAGSYN-PWY	rn00520	rn01110
rxn00295	PWY-5512	PWY-5514	PWY-7332	PWY-7820	rn00520
rxn00296	
rxn00297	ECASYN-PWY	PWY-7332	PWY-7335	PWY-7815	PWY-7816	PWY-7819	TEICHOICACID-PWY	rn00520
rxn00298	PWY-7090	PWY-7332	PWY-7336	rn00520
rxn00299	ALL-CHORISMATE-PWY	FOLSYN-PWY	PWY-5663	PWY-5664	PWY-6147	PWY-6612	PWY-6703	PWY-6983	PWY-7442	PWY-7852	PWY0-1433
rxn00300	PWY-6168	PWY-7539	PWY-7991	RIBOSYN2-PWY	rn00740
rxn00301	rn00230
rxn00302	rn00790
rxn00303	PPGPPMET-PWY	rn00230
rxn00304	rn00230
rxn00305	PWY-7383	PWY-7389	PWY66-399	rn00010	rn00020	rn00620	rn01110
rxn00306	PWY66-398	rn00020	rn00640	rn01110	rn01200
rxn00307	rn00230
rxn00308	
rxn00309	PWY-5314	PWY-5327	rn00960
rxn00310	PWY-5311	PWY-5327	PWY66-425	rn00310	rn00960
rxn00311	AEROBACTINSYN-PWY	rn00310
rxn00312	PWY-5280	PWY-5327	rn00310
rxn00313	DAPLYSINESYN-PWY	P4-PWY	PWY-2941	PWY-2942	PWY-5097	PWY-724	PWY0-781	rn00300	rn01110	rn01230
rxn00314	rn00310
rxn00315	PWY-5324	PWY-5327
rxn00316	rn00310
rxn00317	PWY-5298	PWY-5327
rxn00318	rn00310
rxn00319	
rxn00320	PWY-5283	PWY-5327	rn00310
rxn00321	P163-PWY	PWY-5327	rn00310
rxn00322	POLYAMSYN-PWY	PWY-5327	PWY-5468	PWY-6328	PWY-6375	PWY-6376	PWY-6381	PWY0-1303	PWY0-461	rn00310	rn00960	rn01110
rxn00323	
rxn00324	rn00630
rxn00325	rn00630
rxn00326	PWY-6696	rn00630
rxn00327	PWY-5692	URDEGR-PWY	rn00230
rxn00328	HYDROXYPRODEG-PWY	rn00630
rxn00330	GLYCOL-GLYOXDEG-PWY	GLYOXDEG-PWY	P105-PWY	PWY-5257	PWY-561	PWY-6969	PWY-7118	PWY-7294	PWY-7295	PWY-7854	rn00620	rn00630	rn01200
rxn00331	PWY-1622	PWY-5741	PWY-5743	PWY-6728	PWY-7024	rn00630	rn00680	rn00720	rn01200
rxn00332	rn00630
rxn00333	PWY-181	rn00630	rn01110
rxn00334	rn00630
